p,r,n_edges_mean,n_edges_sd,mean_strength_mean,mean_strength_sd,cc_mean,cc_sd,aspl_mean,aspl_sd,mod_mean,mod_sd
0,1,11647864.3,8.56413711032492,439.29863152934007,2.7166336465025753e-4,0.3120001004181708,2.446425381987212e-6,1.200247742172219,1.2358894539700944e-6,0.28781393884791123,0.0014278940715356612
0,0.875,12922855.4,1052.2719547087943,489.6086834091138,0.03587939704633812,0.30907961021221386,1.535599591494479e-5,1.166490142825328,5.410744631714262e-5,0.2688951938085729,8.72914974242314e-4
0,0.75,14196583.3,1328.996868987199,539.8862619147734,0.05247425782508754,0.3113132102466519,1.7522242102930696e-5,1.1409682078630843,6.65722439005148e-5,0.25295548274070595,3.745915258164935e-4
0,0.625,15472038.6,1572.3564198714969,590.2102857615222,0.05216146939098494,0.316962913242845,2.976796273202259e-5,1.1200399570747925,6.79188891531957e-5,0.24001421899586656,0.0013261287583577145
0.045,0.5,16380564.1,1714.8172853753904,629.8414714715601,0.05255248266080934,0.3137709252010319,3.7428157352321224e-5,1.086009098763395,3.0644980545973887e-4,0.22451450141504287,0.002419784896489275
0.125,0.875,11797253.6,1273.3384118572371,448.92524878366896,0.04448115032122289,0.2786980002328915,1.9111049801906804e-5,1.1572704683184487,1.304720710239636e-4,0.2656609139229232,6.825342816192832e-4
0.125,0.75,13107278.8,1088.0655413265424,502.60388854160516,0.04697451655402506,0.27989431112001645,2.3752018524525784e-5,1.1198987508954636,2.3014141942754554e-4,0.2471127382205864,7.889627114710365e-4
0.125,0.625,14418551.5,1092.1924179272523,556.3267303678239,0.03131975560122263,0.2852201308574336,4.152204334830178e-5,1.0907321709580944,2.7483965870627987e-4,0.23209462438852763,0.0011264180855857214
0.175,0.5,15320865,1663.2448874280526,597.0675675149697,0.06402371624204531,0.2801271568828967,3.725033599176123e-5,1.0586898617348974,3.140046294070161e-4,0.21458577281835775,8.134093561612159e-4
0.225,0.375,16249904.7,1974.189738151382,639.5792069266821,0.08444060204938832,0.2768021625564725,6.0334479262845713e-5,1.0294237414497092,2.790488228902902e-4,0.20002292009861802,0.002001911879722792
0.25,0.8,11477259.1,1793.310870367371,441.38300618989024,0.07571521305591872,0.24670906728626346,4.8229305705290504e-5,1.1261403913489036,3.65829198547923e-4,0.24795641744833688,5.681865760900608e-4
0.25,0.7,12552749,2168.9797909001672,486.47201664890406,0.07906211127619793,0.24882217606491247,2.7544746043668726e-5,1.0958143388653054,3.194114758422338e-4,0.23230462358694318,9.517385168787429e-4
0.3,0.55,13745838.6,2162.766088960051,539.5350028810349,0.07909511318649959,0.24317256304114857,5.340051510046159e-5,1.0559901258373976,3.321098966967886e-4,0.20987071094945112,0.0017749240123453728
0.3,0.45,14832224.7,1576.3520510624803,585.3514336120609,0.0762378317285441,0.25040528551074465,3.659949240455427e-5,1.0350557193653775,4.2455274312857926e-4,0.19781113625183772,0.0014626580593673833
0.375,0.3,15860879.6,1754.3414212239936,633.3417280930959,0.07314969960002633,0.24318996220838882,5.459268938766709e-5,1.0027572826259075,4.066736864155041e-4,0.17692261947911195,0.0021050285318918492
0.375,0.7,11461968.4,1925.8632234807214,446.8652834415075,0.06387393011577881,0.2153814547762402,3.945262846770706e-5,1.0920288556745956,3.922342245754042e-4,0.22248003028527102,0.0025632678769851942
0.375,0.625,12286395.2,1873.3890145936052,481.8379868621404,0.0627923624890397,0.21853482598039684,4.527493495043469e-5,1.0706984498905694,4.194872722086443e-4,0.21112393850717953,0.0021948583124886396
0.45,0.45,13581744.8,2426.452270748844,540.0914213931356,0.08383033154539886,0.21010398286703288,4.24624937535152e-5,1.0289519073965823,4.476470303018331e-4,0.18150799539194656,0.002420018725745532
0.5,0.325,14556886.7,2258.158445872802,583.0447734366143,0.08846132701850358,0.207866181994984,3.1439780755689675e-5,1.0046408659904975,4.19757846655878e-4,0.16279654151651787,0.0017205365490189485
0.55,0.2,15534136,2700.232253385294,625.2116199940857,0.10348185364915292,0.2071850991138772,3.275952083514092e-5,0.983741236018433,5.099150416596471e-4,0.14422409510449366,7.561795560134655e-4
0.5,0.625,11197705.3,2530.024815425071,440.7417958469292,0.0989419563083304,0.18511435984776725,6.191230781375415e-5,1.0722868733438744,5.925802898753318e-4,0.1982367793875988,1.7681101372386026e-4
0.55,0.5,12163104.1,2186.8294883486255,482.88647550487497,0.0709367318547483,0.18010449754458682,5.637810479164272e-5,1.0422041806682596,3.7954864087447795e-4,0.17477303303739572,0.0014270164812343884
0.625,0.325,13487018.7,1990.788177247059,539.0686593030708,0.08024461696743221,0.17674422949147423,3.95622346731457e-5,1.0104562517145386,5.779444199196016e-4,0.14372352182020146,0.0014501066720805855
0.7,0.15,14803873.9,2174.5745152149243,591.6984837262951,0.06905155020314646,0.1775898049258198,2.096159455211034e-5,0.9879871151176274,4.0538877267604664e-4,0.11526655221585921,9.178202326593701e-4
0.75,0,15984546.9,2066.5856140019946,636.4157621707586,0.08351770703079717,0.18318569020142958,2.6566194696449426e-5,0.9751205381374363,5.875286538145852e-4,0.09439949034476985,5.106093413180206e-4
